Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-11-09; 00:06:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:06:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:06:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:06:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:06:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:06:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:07:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:07:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 25°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:07:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:07:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:07:47; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 25°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:07:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:08:07; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:08:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:08:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:08:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:08:47; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:08:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:09:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:09:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:09:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:09:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:09:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:09:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:10:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:10:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 48°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:10:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:10:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:10:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:10:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:11:07; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:11:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:11:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:11:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:11:47; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:11:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 47°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:12:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:12:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:12:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:12:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:12:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:12:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 25°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:13:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:13:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:13:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:13:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:13:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:13:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:14:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:14:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:14:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:14:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:14:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:14:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:15:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:15:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:15:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:15:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:15:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 46°; 24°; 0%; 4°; 28°; 28°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
